subject,image,treeIndex,confidence
1,10095,8,15
1,10409,10,18
1,10545,32,16
1,10634,44,10
1,10695,2,17
1,10991,148,5
1,11260,196,2
1,12067,44,4
1,12116,10,14
1,12240,32,12
1,12541,2,19
1,12656,8,12
1,12788,51,7
1,13007,32,10
1,13354,0,20
1,13395,3,16
1,13596,13,8
1,13799,158,2
1,14119,137,2
1,14510,2,18
3,10095,8,17
3,10409,6,15
3,10545,32,15
3,10634,44,15
3,10695,2,17
3,10991,196,13
3,11260,64,12
3,12067,34,13
3,12116,10,15
3,12240,32,18
3,12541,2,18
3,12656,8,16
3,12788,179,15
3,13007,32,15
3,13354,0,17
3,13395,6,17
3,13596,44,16
3,13799,190,15
3,14119,184,16
3,14510,2,18
4,10095,3,17
4,10409,3,17
4,10545,25,16
4,10634,32,13
4,10695,2,16
4,10991,152,14
4,11260,152,15
4,12067,141,15
4,12116,10,15
4,12240,32,15
4,12541,2,17
4,12656,7,15
4,12788,64,13
4,13007,32,15
4,13354,0,17
4,13395,3,13
4,13596,13,13
4,13799,157,13
4,14119,136,13
4,14510,2,15
5,10095,8,9
5,10409,6,10
5,10545,32,10
5,10634,41,10
5,10695,2,12
5,10991,141,10
5,11260,64,8
5,12067,34,10
5,12116,10,10
5,12240,32,9
5,12541,2,10
5,12656,1,10
5,12788,51,12
5,13007,32,10
5,13354,0,12
5,13395,6,12
5,13596,41,8
5,13799,158,10
5,14119,136,8
5,14510,2,12
6,10095,8,15
6,10409,10,15
6,10545,32,20
6,10634,44,20
6,10695,2,20
6,10991,148,12
6,11260,148,10
6,12067,148,10
6,12116,10,15
6,12240,32,17
6,12541,2,12
6,12656,8,20
6,12788,148,10
6,13007,32,17
6,13354,0,15
6,13395,8,17
6,13596,44,20
6,13799,64,5
6,14119,137,5
6,14510,2,15
7,10095,8,14
7,10409,6,15
7,10545,32,9
7,10634,31,8
7,10695,2,18
7,10991,148,11
7,11260,196,12
7,12067,135,8
7,12116,10,15
7,12240,31,10
7,12541,0,13
7,12656,7,11
7,12788,179,6
7,13007,32,9
7,13354,0,19
7,13395,3,4
7,13596,41,7
7,13799,158,20
7,14119,66,8
7,14510,2,14
8,10095,8,15
8,10409,10,17
8,10545,32,14
8,10634,44,16
8,10695,2,17
8,10991,148,8
8,11260,152,5
8,12067,44,6
8,12116,10,17
8,12240,32,16
8,12541,2,12
8,12656,8,15
8,12788,179,4
8,13007,32,16
8,13354,0,14
8,13395,6,14
8,13596,44,8
8,13799,190,8
8,14119,184,9
8,14510,2,17
9,10095,8,15
9,10409,10,12
9,10545,25,12
9,10634,31,16
9,10695,2,18
9,10991,57,16
9,11260,64,14
9,12067,16,16
9,12116,8,18
9,12240,32,18
9,12541,0,18
9,12656,8,18
9,12788,179,16
9,13007,32,19
9,13354,0,17
9,13395,6,19
9,13596,41,8
9,13799,190,15
9,14119,137,15
9,14510,2,17
12,10095,8,15
12,10409,8,16
12,10545,25,15
12,10634,0,20
12,10695,2,18
12,10991,141,12
12,11260,152,14
12,12067,178,15
12,12116,8,15
12,12240,30,18
12,12541,2,15
12,12656,1,16
12,12788,177,12
12,13007,27,15
12,13354,0,15
12,13395,6,15
12,13596,41,13
12,13799,158,15
12,14119,135,15
12,14510,2,18
13,10095,8,20
13,10409,10,20
13,10545,26,20
13,10634,0,20
13,10695,2,20
13,10991,0,15
13,11260,56,15
13,12067,152,17
13,12116,10,20
13,12240,30,20
13,12541,2,20
13,12656,8,18
13,12788,59,18
13,13007,32,20
13,13354,0,20
13,13395,8,20
13,13596,36,17
13,13799,158,20
13,14119,137,20
13,14510,2,20
14,10095,8,15
14,10409,8,10
14,10545,32,18
14,10634,44,18
14,10695,2,15
14,10991,148,13
14,11260,196,10
14,12067,44,15
14,12116,10,13
14,12240,32,16
14,12541,2,12
14,12656,8,15
14,12788,179,13
14,13007,32,15
14,13354,0,13
14,13395,8,12
14,13596,44,10
14,13799,190,10
14,14119,184,13
14,14510,2,15
15,10095,8,20
15,10409,10,20
15,10545,32,20
15,10634,44,15
15,10695,2,18
15,10991,148,5
15,11260,196,5
15,12067,135,12
15,12116,10,16
15,12240,32,20
15,12541,2,20
15,12656,8,20
15,12788,196,4
15,13007,32,16
15,13354,0,20
15,13395,8,15
15,13596,44,6
15,13799,158,4
15,14119,137,5
15,14510,2,16
2,10095,8,18
2,10409,6,16
2,10545,25,3
2,10634,13,7
2,10695,2,13
2,10991,64,7
2,11260,196,5
2,12067,55,6
2,12116,3,13
2,12240,11,13
2,12541,0,14
2,12656,8,10
2,12788,64,5
2,13007,11,15
2,13354,0,18
2,13395,6,13
2,13596,13,7
2,13799,158,13
2,14119,184,5
2,14510,2,17
10,10095,10,15
10,10409,10,15
10,10545,32,15
10,10634,31,10
10,10695,2,15
10,10991,148,13
10,11260,196,8
10,12067,34,5
10,12116,10,15
10,12240,32,15
10,12541,2,10
10,12656,7,10
10,12788,179,8
10,13007,32,15
10,13354,0,20
10,13395,6,15
10,13596,41,10
10,13799,158,10
10,14119,184,8
10,14510,2,15
11,10095,10,17
11,10409,10,18
11,10545,32,18
11,10634,44,18
11,10695,2,16
11,10991,148,17
11,11260,64,10
11,12067,34,8
11,12116,10,17
11,12240,32,18
11,12541,2,17
11,12656,8,17
11,12788,179,9
11,13007,32,17
11,13354,0,18
11,13395,6,18
11,13596,41,9
11,13799,158,8
11,14119,184,9
11,14510,2,17
16,10095,10,20
16,10409,10,20
16,10545,32,20
16,10634,13,18
16,10695,2,15
16,10991,64,20
16,11260,64,15
16,12067,35,18
16,12116,10,18
16,12240,11,15
16,12541,2,15
16,12656,8,18
16,12788,55,18
16,13007,11,18
16,13354,0,15
16,13395,8,15
16,13596,9,15
16,13799,158,18
16,14119,64,18
16,14510,2,18
