Initial Information,Final Information,information change
-2.49901537067528,-2.48818974481465,0.01082562586063
-1.92998144067629,-2.69282467416303,-0.76284323348674
-1.22227824490214,-2.57343432558794,-1.3511560806858
-0.699173347607299,1.48831327714066,2.18748662474796
-0.10935347208136,-0.483963598973767,-0.374610126892407
0.553622336439698,-0.374955068270892,-0.92857740471059
1.08263087237704,0.736510382396788,-0.346120489980252
1.67844141996131,3.83480825096321,2.1563668310019
2.41439707851031,4.7930128452032,2.37861576669289
3.22615979081182,1.1134362378322,-2.11272355297962
4.43827348981594,3.25277866516672,-1.18549482464922
5.10118815781289,4.31813376976034,-0.78305438805255
5.92242390055999,2.2681719888834,-3.65425191167659
6.76766419186551,0.949144065793717,-5.81852012607179
7.0859781964539,3.72545511254915,-3.36052308390475
7.2807239825635,6.9997769191653,-0.2809470633982
7.6856470367699,3.95153698337504,-3.73411005339486
8.03975012599295,4.15132466740768,-3.88842545858527
9.87914000522181,1.15192887029908,-8.72721113492273
10.4688461854606,3.6775750145874,-6.7912711708732
