,informationContent,
42,26.57123049,
56,26.57123049,
55,26.57123027,
54,25.5751405,
14,25.16732049,
35,25.16732049,
29,25.1673204,
18,25.16675543,
52,24.79999353,?
33,23.80390353,
26,23.35686794,
46,22.84105757,
21,22.63853589,
13,20.56529427,
24,20.52880373,
51,20.52880373,
11,19.97467034,
15,19.97467034,
28,19.97467034,
34,19.97467033,
40,19.93661355,
32,19.93575148,
19,19.53271373,
38,19.53271373,
16,18.93966148,£¿
36,18.93966148,
39,17.65936983,
58,17.65936983,
50,16.39142218,
20,15.76217349,
12,15.58421929,
59,15.47732698,
49,15.47732698,
45,14.68714867,
48,14.3196938,
27,13.92472252,
25,13.70357935,
43,10.97229699,
22,10.97229699,
31,10.91346076,
23,10.91346076,
44,10.91346076,
47,8.201713503,
30,7.415003283,
57,4.501367795,
37,4.501367795,
53,4.501367795,
41,4.501367795,
17,4.501367795,
